model,region,year,area,lai,tas,pr,gpp,pct_growth_gpp
ACCESS-ESM1-5,Afghanistan,1850,651317966848.0,99113633722.0509,11.286098213220226,0.30152692834951456,0.20441775430347364,
ACCESS-ESM1-5,Afghanistan,1851,651317966848.0,94135847235.4497,11.156026479838854,0.10647916579410316,0.19779813114067427,-0.03291874422504626
ACCESS-ESM1-5,Afghanistan,1852,651317966848.0,88012650710.93307,11.937850859633024,0.15018155691390872,0.18542320302053705,-0.0646061744802624
ACCESS-ESM1-5,Afghanistan,1853,651317966848.0,92636216879.84119,11.096119086926144,0.43331973010116576,0.20419468824878664,0.09643309646194775
ACCESS-ESM1-5,Afghanistan,1854,651317966848.0,97895863215.11473,11.912795136990187,0.24313264842775942,0.21210819545496862,0.038022607505850736
ACCESS-ESM1-5,Afghanistan,1855,651317966848.0,100880323818.54317,11.640489356858774,0.19614827371092422,0.21573504121585516,0.0169544932776029
ACCESS-ESM1-5,Afghanistan,1856,651317966848.0,101398692656.44478,11.50764460133217,0.1602844028096771,0.2163526432411403,0.0028586903450114054
ACCESS-ESM1-5,Afghanistan,1857,651317966848.0,84070122714.5979,12.317537673215755,-0.2303838429979338,0.17505988964430333,-0.21178154211075517
ACCESS-ESM1-5,Afghanistan,1858,651317966848.0,80969925633.58202,12.40964076090622,0.0324065373822235,0.17993012868033628,0.027440459616804747
ACCESS-ESM1-5,Afghanistan,1859,651317966848.0,87863565619.19502,11.64795561165785,0.30731789427599987,0.2003509121244566,0.1075017881938769
ACCESS-ESM1-5,Afghanistan,1860,651317966848.0,94280423033.78468,11.814057311967462,0.09485686642741459,0.2071300767046891,0.03327659606192079
ACCESS-ESM1-5,Afghanistan,1861,651317966848.0,85827302581.33635,11.124904797352274,-0.05352785769216453,0.18075631641411494,-0.13619717977762424
ACCESS-ESM1-5,Afghanistan,1862,651317966848.0,82181161917.74251,12.922126997595052,-0.15990630619873758,0.1780125156446489,-0.015295945580566794
ACCESS-ESM1-5,Afghanistan,1863,651317966848.0,84275596069.36671,12.144508131411975,0.0485561394330076,0.1846937615060805,0.03684524984287174
ACCESS-ESM1-5,Afghanistan,1864,651317966848.0,84451807981.36209,11.668342506549495,-0.2578286353976784,0.17792092812578128,-0.03735988269062451
